20270001/1;1;10001;20001;30001;40001
20270469/2;2135;12135;22135;32135;42135
20270469/3;3801;13801;23801;33801;43801
20270469/4;5467;15467;25467;35467;45467
20270469/5;7133;17133;27133;37133;47133
20270469/6;8799;18799;28799;38799;48799
20270469/7;50469;60469;70469;80469;90469
20270469/8;52135;62135;72135;82135;92135
20270469/9;53801;63801;73801;83801;93801
20270469/10;55467;65467;75467;85467;95467
20270469/11;57133;67133;77133;87133;97133
20270469/12;58799;68799;78799;88799;98799
20270470/1;470;10470;20470;30470;40470
20270470/2;2136;12136;22136;32136;42136
20270470/3;3802;13802;23802;33802;43802
20270470/4;5468;15468;25468;35468;45468
20270470/5;7134;17134;27134;37134;47134
20270470/6;8800;18800;28800;38800;48800
20270470/7;50470;60470;70470;80470;90470
20270470/8;52136;62136;72136;82136;92136
20270470/9;53802;63802;73802;83802;93802
20270470/10;55468;65468;75468;85468;95468
20270470/11;57134;67134;77134;87134;97134
20270470/12;58800;68800;78800;88800;98800
20270471/1;471;10471;20471;30471;40471
20270471/2;2137;12137;22137;32137;42137
20270471/3;3803;13803;23803;33803;43803
20270471/4;5469;15469;25469;35469;45469
20270471/5;7135;17135;27135;37135;47135
20270471/6;8801;18801;28801;38801;48801
20270471/7;50471;60471;70471;80471;90471
20270471/8;52137;62137;72137;82137;92137
20270471/9;53803;63803;73803;83803;93803
20270471/10;55469;65469;75469;85469;95469
20270471/11;57135;67135;77135;87135;97135
20270471/12;58801;68801;78801;88801;98801
20270472/1;472;10472;20472;30472;40472
20270472/2;2138;12138;22138;32138;42138
20270472/3;3804;13804;23804;33804;43804
20270472/4;5470;15470;25470;35470;45470
20270472/5;7136;17136;27136;37136;47136
20270472/6;8802;18802;28802;38802;48802
20270472/7;50472;60472;70472;80472;90472
20270472/8;52138;62138;72138;82138;92138
20270472/9;53804;63804;73804;83804;93804
20270472/10;55470;65470;75470;85470;95470
20270472/11;57136;67136;77136;87136;97136
20270472/12;58802;68802;78802;88802;98802
20270473/1;473;10473;20473;30473;40473
20270473/2;2139;12139;22139;32139;42139
20270473/3;3805;13805;23805;33805;43805
20270473/4;5471;15471;25471;35471;45471
20270473/5;7137;17137;27137;37137;47137
20270473/6;8803;18803;28803;38803;48803
20270473/7;50473;60473;70473;80473;90473
20270473/8;52139;62139;72139;82139;92139
20270473/9;53805;63805;73805;83805;93805
20270473/10;55471;65471;75471;85471;95471
20270473/11;57137;67137;77137;87137;97137
20270473/12;58803;68803;78803;88803;98803
20270474/1;474;10474;20474;30474;40474
20270474/2;2140;12140;22140;32140;42140
20270474/3;3806;13806;23806;33806;43806
20270474/4;5472;15472;25472;35472;45472
20270474/5;7138;17138;27138;37138;47138
20270474/6;8804;18804;28804;38804;48804
20270474/7;50474;60474;70474;80474;90474
20270474/8;52140;62140;72140;82140;92140
20270474/9;53806;63806;73806;83806;93806
20270474/10;55472;65472;75472;85472;95472
20270474/11;57138;67138;77138;87138;97138
20270474/12;58804;68804;78804;88804;98804
20270475/1;475;10475;20475;30475;40475
20270475/2;2141;12141;22141;32141;42141
20270475/3;3807;13807;23807;33807;43807
20270475/4;5473;15473;25473;35473;45473
20270475/5;7139;17139;27139;37139;47139
20270475/6;8805;18805;28805;38805;48805
20270475/7;50475;60475;70475;80475;90475
20270475/8;52141;62141;72141;82141;92141
20270475/9;53807;63807;73807;83807;93807
20270475/10;55473;65473;75473;85473;95473
20270475/11;57139;67139;77139;87139;97139
20270475/12;58805;68805;78805;88805;98805
20270476/1;476;10476;20476;30476;40476
20270476/2;2142;12142;22142;32142;42142
20270476/3;3808;13808;23808;33808;43808
20270476/4;5474;15474;25474;35474;45474
20270476/5;7140;17140;27140;37140;47140
20270476/6;8806;18806;28806;38806;48806
20270476/7;50476;60476;70476;80476;90476
20270476/8;52142;62142;72142;82142;92142
20270476/9;53808;63808;73808;83808;93808
20270476/10;55474;65474;75474;85474;95474
20270476/11;57140;67140;77140;87140;97140
20270476/12;58806;68806;78806;88806;98806
20270477/1;477;10477;20477;30477;40477
20270477/2;2143;12143;22143;32143;42143
20270477/3;3809;13809;23809;33809;43809
20270477/4;5475;15475;25475;35475;45475
20270477/5;7141;17141;27141;37141;47141
20270477/6;8807;18807;28807;38807;48807
20270477/7;50477;60477;70477;80477;90477
20270477/8;52143;62143;72143;82143;92143
20270477/9;53809;63809;73809;83809;93809
20270477/10;55475;65475;75475;85475;95475
20270477/11;57141;67141;77141;87141;97141
20270477/12;58807;68807;78807;88807;98807
20270478/1;478;10478;20478;30478;40478
20270478/2;2144;12144;22144;32144;42144
20270478/3;3810;13810;23810;33810;43810
20270478/4;5476;15476;25476;35476;45476
20270478/5;7142;17142;27142;37142;47142
20270478/6;8808;18808;28808;38808;48808
20270478/7;50478;60478;70478;80478;90478
20270478/8;52144;62144;72144;82144;92144
20270478/9;53810;63810;73810;83810;93810
20270478/10;55476;65476;75476;85476;95476
20270478/11;57142;67142;77142;87142;97142
20270478/12;58808;68808;78808;88808;98808
20270479/1;479;10479;20479;30479;40479
20270479/2;2145;12145;22145;32145;42145
20270479/3;3811;13811;23811;33811;43811
20270479/4;5477;15477;25477;35477;45477
20270479/5;7143;17143;27143;37143;47143
20270479/6;8809;18809;28809;38809;48809
20270479/7;50479;60479;70479;80479;90479
20270479/8;52145;62145;72145;82145;92145
20270479/9;53811;63811;73811;83811;93811
20270479/10;55477;65477;75477;85477;95477
20270479/11;57143;67143;77143;87143;97143
20270479/12;58809;68809;78809;88809;98809
20270480/1;480;10480;20480;30480;40480
20270480/2;2146;12146;22146;32146;42146
20270480/3;3812;13812;23812;33812;43812
20270480/4;5478;15478;25478;35478;45478
20270480/5;7144;17144;27144;37144;47144
20270480/6;8810;18810;28810;38810;48810
20270480/7;50480;60480;70480;80480;90480
20270480/8;52146;62146;72146;82146;92146
20270480/9;53812;63812;73812;83812;93812
20270480/10;55478;65478;75478;85478;95478
20270480/11;57144;67144;77144;87144;97144
20270480/12;58810;68810;78810;88810;98810
20270481/1;481;10481;20481;30481;40481
20270481/2;2147;12147;22147;32147;42147
20270481/3;3813;13813;23813;33813;43813
20270481/4;5479;15479;25479;35479;45479
20270481/5;7145;17145;27145;37145;47145
20270481/6;8811;18811;28811;38811;48811
20270481/7;50481;60481;70481;80481;90481
20270481/8;52147;62147;72147;82147;92147
20270481/9;53813;63813;73813;83813;93813
20270481/10;55479;65479;75479;85479;95479
20270481/11;57145;67145;77145;87145;97145
20270481/12;58811;68811;78811;88811;98811
20270482/1;482;10482;20482;30482;40482
20270482/2;2148;12148;22148;32148;42148
20270482/3;3814;13814;23814;33814;43814
20270482/4;5480;15480;25480;35480;45480
20270482/5;7146;17146;27146;37146;47146
20270482/6;8812;18812;28812;38812;48812
20270482/7;50482;60482;70482;80482;90482
20270482/8;52148;62148;72148;82148;92148
20270482/9;53814;63814;73814;83814;93814
20270482/10;55480;65480;75480;85480;95480
20270482/11;57146;67146;77146;87146;97146
20270482/12;58812;68812;78812;88812;98812
20270483/1;483;10483;20483;30483;40483
20270483/2;2149;12149;22149;32149;42149
20270483/3;3815;13815;23815;33815;43815
20270483/4;5481;15481;25481;35481;45481
20270483/5;7147;17147;27147;37147;47147
20270483/6;8813;18813;28813;38813;48813
20270483/7;50483;60483;70483;80483;90483
20270483/8;52149;62149;72149;82149;92149
20270483/9;53815;63815;73815;83815;93815
20270483/10;55481;65481;75481;85481;95481
20270483/11;57147;67147;77147;87147;97147
20270483/12;58813;68813;78813;88813;98813
20270484/1;484;10484;20484;30484;40484
20270484/2;2150;12150;22150;32150;42150
20270484/3;3816;13816;23816;33816;43816
20270484/4;5482;15482;25482;35482;45482
20270484/5;7148;17148;27148;37148;47148
20270484/6;8814;18814;28814;38814;48814
20270484/7;50484;60484;70484;80484;90484
20270484/8;52150;62150;72150;82150;92150
20270484/9;53816;63816;73816;83816;93816
20270484/10;55482;65482;75482;85482;95482
20270484/11;57148;67148;77148;87148;97148
20270484/12;58814;68814;78814;88814;98814
20270485/1;485;10485;20485;30485;40485
20270485/2;2151;12151;22151;32151;42151
20270485/3;3817;13817;23817;33817;43817
20270485/4;5483;15483;25483;35483;45483
20270485/5;7149;17149;27149;37149;47149
20270485/6;8815;18815;28815;38815;48815
20270485/7;50485;60485;70485;80485;90485
20270485/8;52151;62151;72151;82151;92151
20270485/9;53817;63817;73817;83817;93817
20270485/10;55483;65483;75483;85483;95483
20270485/11;57149;67149;77149;87149;97149
20270485/12;58815;68815;78815;88815;98815
20270486/1;486;10486;20486;30486;40486
20270486/2;2152;12152;22152;32152;42152
20270486/3;3818;13818;23818;33818;43818
20270486/4;5484;15484;25484;35484;45484
20270486/5;7150;17150;27150;37150;47150
20270486/6;8816;18816;28816;38816;48816
20270486/7;50486;60486;70486;80486;90486
20270486/8;52152;62152;72152;82152;92152
20270486/9;53818;63818;73818;83818;93818
20270486/10;55484;65484;75484;85484;95484
20270486/11;57150;67150;77150;87150;97150
20270486/12;58816;68816;78816;88816;98816
20270487/1;487;10487;20487;30487;40487
20270487/2;2153;12153;22153;32153;42153
20270487/3;3819;13819;23819;33819;43819
20270487/4;5485;15485;25485;35485;45485
20270487/5;7151;17151;27151;37151;47151
20270487/6;8817;18817;28817;38817;48817
20270487/7;50487;60487;70487;80487;90487
20270487/8;52153;62153;72153;82153;92153
20270487/9;53819;63819;73819;83819;93819
20270487/10;55485;65485;75485;85485;95485
20270487/11;57151;67151;77151;87151;97151
20270487/12;58817;68817;78817;88817;98817
20270488/1;488;10488;20488;30488;40488
20270488/2;2154;12154;22154;32154;42154
20270488/3;3820;13820;23820;33820;43820
20270488/4;5486;15486;25486;35486;45486
20270488/5;7152;17152;27152;37152;47152
20270488/6;8818;18818;28818;38818;48818
20270488/7;50488;60488;70488;80488;90488
20270488/8;52154;62154;72154;82154;92154
20270488/9;53820;63820;73820;83820;93820
20270488/10;55486;65486;75486;85486;95486
20270488/11;57152;67152;77152;87152;97152
20270488/12;58818;68818;78818;88818;98818
20270489/1;489;10489;20489;30489;40489
20270489/2;2155;12155;22155;32155;42155
20270489/3;3821;13821;23821;33821;43821
20270489/4;5487;15487;25487;35487;45487
20270489/5;7153;17153;27153;37153;47153
20270489/6;8819;18819;28819;38819;48819
20270489/7;50489;60489;70489;80489;90489
20270489/8;52155;62155;72155;82155;92155
20270489/9;53821;63821;73821;83821;93821
20270489/10;55487;65487;75487;85487;95487
20270489/11;57153;67153;77153;87153;97153
20270489/12;58819;68819;78819;88819;98819
20270490/1;490;10490;20490;30490;40490
20270490/2;2156;12156;22156;32156;42156
20270490/3;3822;13822;23822;33822;43822
20270490/4;5488;15488;25488;35488;45488
20270490/5;7154;17154;27154;37154;47154
20270490/6;8820;18820;28820;38820;48820
20270490/7;50490;60490;70490;80490;90490
20270490/8;52156;62156;72156;82156;92156
20270490/9;53822;63822;73822;83822;93822
20270490/10;55488;65488;75488;85488;95488
20270490/11;57154;67154;77154;87154;97154
20270490/12;58820;68820;78820;88820;98820
20270491/1;491;10491;20491;30491;40491
20270491/2;2157;12157;22157;32157;42157
20270491/3;3823;13823;23823;33823;43823
20270491/4;5489;15489;25489;35489;45489
20270491/5;7155;17155;27155;37155;47155
20270491/6;8821;18821;28821;38821;48821
20270491/7;50491;60491;70491;80491;90491
20270491/8;52157;62157;72157;82157;92157
20270491/9;53823;63823;73823;83823;93823
20270491/10;55489;65489;75489;85489;95489
20270491/11;57155;67155;77155;87155;97155
20270491/12;58821;68821;78821;88821;98821
20270492/1;492;10492;20492;30492;40492
20270492/2;2158;12158;22158;32158;42158
20270492/3;3824;13824;23824;33824;43824
20270492/4;5490;15490;25490;35490;45490
20270492/5;7156;17156;27156;37156;47156
20270492/6;8822;18822;28822;38822;48822
20270492/7;50492;60492;70492;80492;90492
20270492/8;52158;62158;72158;82158;92158
20270492/9;53824;63824;73824;83824;93824
20270492/10;55490;65490;75490;85490;95490
20270492/11;57156;67156;77156;87156;97156
20270492/12;58822;68822;78822;88822;98822
20270493/1;493;10493;20493;30493;40493
20270493/2;2159;12159;22159;32159;42159
20270493/3;3825;13825;23825;33825;43825
20270493/4;5491;15491;25491;35491;45491
20270493/5;7157;17157;27157;37157;47157
20270493/6;8823;18823;28823;38823;48823
20270493/7;50493;60493;70493;80493;90493
20270493/8;52159;62159;72159;82159;92159
20270493/9;53825;63825;73825;83825;93825
20270493/10;55491;65491;75491;85491;95491
20270493/11;57157;67157;77157;87157;97157
20270493/12;58823;68823;78823;88823;98823
20270494/1;494;10494;20494;30494;40494
20270494/2;2160;12160;22160;32160;42160
20270494/3;3826;13826;23826;33826;43826
20270494/4;5492;15492;25492;35492;45492
20270494/5;7158;17158;27158;37158;47158
20270494/6;8824;18824;28824;38824;48824
20270494/7;50494;60494;70494;80494;90494
20270494/8;52160;62160;72160;82160;92160
20270494/9;53826;63826;73826;83826;93826
20270494/10;55492;65492;75492;85492;95492
20270494/11;57158;67158;77158;87158;97158
20270494/12;58824;68824;78824;88824;98824
20270495/1;495;10495;20495;30495;40495
20270495/2;2161;12161;22161;32161;42161
20270495/3;3827;13827;23827;33827;43827
20270495/4;5493;15493;25493;35493;45493
20270495/5;7159;17159;27159;37159;47159
20270495/6;8825;18825;28825;38825;48825
20270495/7;50495;60495;70495;80495;90495
20270495/8;52161;62161;72161;82161;92161
20270495/9;53827;63827;73827;83827;93827
20270495/10;55493;65493;75493;85493;95493
20270495/11;57159;67159;77159;87159;97159
20270495/12;58825;68825;78825;88825;98825
20270496/1;496;10496;20496;30496;40496
20270496/2;2162;12162;22162;32162;42162
20270496/3;3828;13828;23828;33828;43828
20270496/4;5494;15494;25494;35494;45494
20270496/5;7160;17160;27160;37160;47160
20270496/6;8826;18826;28826;38826;48826
20270496/7;50496;60496;70496;80496;90496
20270496/8;52162;62162;72162;82162;92162
20270496/9;53828;63828;73828;83828;93828
20270496/10;55494;65494;75494;85494;95494
20270496/11;57160;67160;77160;87160;97160
20270496/12;58826;68826;78826;88826;98826
20270497/1;497;10497;20497;30497;40497
20270497/2;2163;12163;22163;32163;42163
20270497/3;3829;13829;23829;33829;43829
20270497/4;5495;15495;25495;35495;45495
20270497/5;7161;17161;27161;37161;47161
20270497/6;8827;18827;28827;38827;48827
20270497/7;50497;60497;70497;80497;90497
20270497/8;52163;62163;72163;82163;92163
20270497/9;53829;63829;73829;83829;93829
20270497/10;55495;65495;75495;85495;95495
20270497/11;57161;67161;77161;87161;97161
20270497/12;58827;68827;78827;88827;98827
20270498/1;498;10498;20498;30498;40498
20270498/2;2164;12164;22164;32164;42164
20270498/3;3830;13830;23830;33830;43830
20270498/4;5496;15496;25496;35496;45496
20270498/5;7162;17162;27162;37162;47162
20270498/6;8828;18828;28828;38828;48828
20270498/7;50498;60498;70498;80498;90498
20270498/8;52164;62164;72164;82164;92164
20270498/9;53830;63830;73830;83830;93830
20270498/10;55496;65496;75496;85496;95496
20270498/11;57162;67162;77162;87162;97162
20270498/12;58828;68828;78828;88828;98828
20270499/1;499;10499;20499;30499;40499
20270499/2;2165;12165;22165;32165;42165
20270499/3;3831;13831;23831;33831;43831
20270499/4;5497;15497;25497;35497;45497
20270499/5;7163;17163;27163;37163;47163
20270499/6;8829;18829;28829;38829;48829
20270499/7;50499;60499;70499;80499;90499
20270499/8;52165;62165;72165;82165;92165
20270499/9;53831;63831;73831;83831;93831
20270499/10;55497;65497;75497;85497;95497
20270499/11;57163;67163;77163;87163;97163
20270499/12;58829;68829;78829;88829;98829
20270500/1;500;10500;20500;30500;40500
20270500/2;2166;12166;22166;32166;42166
20270500/3;3832;13832;23832;33832;43832
20270500/4;5498;15498;25498;35498;45498
20270500/5;7164;17164;27164;37164;47164
20270500/6;8830;18830;28830;38830;48830
20270500/7;50500;60500;70500;80500;90500
20270500/8;52166;62166;72166;82166;92166
20270500/9;53832;63832;73832;83832;93832
20270500/10;55498;65498;75498;85498;95498
20270500/11;57164;67164;77164;87164;97164
20270500/12;58830;68830;78830;88830;98830
20270501/1;501;10501;20501;30501;40501
20270501/2;2167;12167;22167;32167;42167
20270501/3;3833;13833;23833;33833;43833
20270501/4;5499;15499;25499;35499;45499
20270501/5;7165;17165;27165;37165;47165
20270501/6;8831;18831;28831;38831;48831
20270501/7;50501;60501;70501;80501;90501
20270501/8;52167;62167;72167;82167;92167
20270501/9;53833;63833;73833;83833;93833
20270501/10;55499;65499;75499;85499;95499
20270501/11;57165;67165;77165;87165;97165
20270501/12;58831;68831;78831;88831;98831
20270502/1;502;10502;20502;30502;40502
20270502/2;2168;12168;22168;32168;42168
20270502/3;3834;13834;23834;33834;43834
20270502/4;5500;15500;25500;35500;45500
20270502/5;7166;17166;27166;37166;47166
20270502/6;8832;18832;28832;38832;48832
20270502/7;50502;60502;70502;80502;90502
20270502/8;52168;62168;72168;82168;92168
20270502/9;53834;63834;73834;83834;93834
20270502/10;55500;65500;75500;85500;95500
20270502/11;57166;67166;77166;87166;97166
20270502/12;58832;68832;78832;88832;98832
20270503/1;503;10503;20503;30503;40503
20270503/2;2169;12169;22169;32169;42169
20270503/3;3835;13835;23835;33835;43835
20270503/4;5501;15501;25501;35501;45501
20270503/5;7167;17167;27167;37167;47167
20270503/6;8833;18833;28833;38833;48833
20270503/7;50503;60503;70503;80503;90503
20270503/8;52169;62169;72169;82169;92169
20270503/9;53835;63835;73835;83835;93835
20270503/10;55501;65501;75501;85501;95501
20270503/11;57167;67167;77167;87167;97167
20270503/12;58833;68833;78833;88833;98833
20270504/1;504;10504;20504;30504;40504
20270504/2;2170;12170;22170;32170;42170
20270504/3;3836;13836;23836;33836;43836
20270504/4;5502;15502;25502;35502;45502
20270504/5;7168;17168;27168;37168;47168
20270504/6;8834;18834;28834;38834;48834
20270504/7;50504;60504;70504;80504;90504
20270504/8;52170;62170;72170;82170;92170
20270504/9;53836;63836;73836;83836;93836
20270504/10;55502;65502;75502;85502;95502
20270504/11;57168;67168;77168;87168;97168
20270504/12;58834;68834;78834;88834;98834
20270505/1;505;10505;20505;30505;40505
20270505/2;2171;12171;22171;32171;42171
20270505/3;3837;13837;23837;33837;43837
20270505/4;5503;15503;25503;35503;45503
20270505/5;7169;17169;27169;37169;47169
20270505/6;8835;18835;28835;38835;48835
20270505/7;50505;60505;70505;80505;90505
20270505/8;52171;62171;72171;82171;92171
20270505/9;53837;63837;73837;83837;93837
20270505/10;55503;65503;75503;85503;95503
20270505/11;57169;67169;77169;87169;97169
20270505/12;58835;68835;78835;88835;98835
20270506/1;506;10506;20506;30506;40506
20270506/2;2172;12172;22172;32172;42172
20270506/3;3838;13838;23838;33838;43838
20270506/4;5504;15504;25504;35504;45504
20270506/5;7170;17170;27170;37170;47170
20270506/6;8836;18836;28836;38836;48836
20270506/7;50506;60506;70506;80506;90506
20270506/8;52172;62172;72172;82172;92172
20270506/9;53838;63838;73838;83838;93838
20270506/10;55504;65504;75504;85504;95504
20270506/11;57170;67170;77170;87170;97170
20270506/12;58836;68836;78836;88836;98836
20270507/1;507;10507;20507;30507;40507
20270507/2;2173;12173;22173;32173;42173
20270507/3;3839;13839;23839;33839;43839
20270507/4;5505;15505;25505;35505;45505
20270507/5;7171;17171;27171;37171;47171
20270507/6;8837;18837;28837;38837;48837
20270507/7;50507;60507;70507;80507;90507
20270507/8;52173;62173;72173;82173;92173
20270507/9;53839;63839;73839;83839;93839
20270507/10;55505;65505;75505;85505;95505
20270507/11;57171;67171;77171;87171;97171
20270507/12;58837;68837;78837;88837;98837
20270508/1;508;10508;20508;30508;40508
20270508/2;2174;12174;22174;32174;42174
20270508/3;3840;13840;23840;33840;43840
20270508/4;5506;15506;25506;35506;45506
20270508/5;7172;17172;27172;37172;47172
20270508/6;8838;18838;28838;38838;48838
20270508/7;50508;60508;70508;80508;90508
20270508/8;52174;62174;72174;82174;92174
20270508/9;53840;63840;73840;83840;93840
20270508/10;55506;65506;75506;85506;95506
20270508/11;57172;67172;77172;87172;97172
20270508/12;58838;68838;78838;88838;98838
20270509/1;509;10509;20509;30509;40509
20270509/2;2175;12175;22175;32175;42175
20270509/3;3841;13841;23841;33841;43841
20270509/4;5507;15507;25507;35507;45507
20270509/5;7173;17173;27173;37173;47173
20270509/6;8839;18839;28839;38839;48839
20270509/7;50509;60509;70509;80509;90509
20270509/8;52175;62175;72175;82175;92175
20270509/9;53841;63841;73841;83841;93841
20270509/10;55507;65507;75507;85507;95507
20270509/11;57173;67173;77173;87173;97173
20270509/12;58839;68839;78839;88839;98839
20270510/1;510;10510;20510;30510;40510
20270510/2;2176;12176;22176;32176;42176
20270510/3;3842;13842;23842;33842;43842
20270510/4;5508;15508;25508;35508;45508
20270510/5;7174;17174;27174;37174;47174
20270510/6;8840;18840;28840;38840;48840
20270510/7;50510;60510;70510;80510;90510
20270510/8;52176;62176;72176;82176;92176
20270510/9;53842;63842;73842;83842;93842
20270510/10;55508;65508;75508;85508;95508
20270510/11;57174;67174;77174;87174;97174
20270510/12;58840;68840;78840;88840;98840
20270511/1;511;10511;20511;30511;40511
20270511/2;2177;12177;22177;32177;42177
20270511/3;3843;13843;23843;33843;43843
20270511/4;5509;15509;25509;35509;45509
20270511/5;7175;17175;27175;37175;47175
20270511/6;8841;18841;28841;38841;48841
20270511/7;50511;60511;70511;80511;90511
20270511/8;52177;62177;72177;82177;92177
20270511/9;53843;63843;73843;83843;93843
20270511/10;55509;65509;75509;85509;95509
20270511/11;57175;67175;77175;87175;97175
20270511/12;58841;68841;78841;88841;98841
20270512/1;512;10512;20512;30512;40512
20270512/2;2178;12178;22178;32178;42178
20270512/3;3844;13844;23844;33844;43844
20270512/4;5510;15510;25510;35510;45510
20270512/5;7176;17176;27176;37176;47176
20270512/6;8842;18842;28842;38842;48842
20270512/7;50512;60512;70512;80512;90512
20270512/8;52178;62178;72178;82178;92178
20270512/9;53844;63844;73844;83844;93844
20270512/10;55510;65510;75510;85510;95510
20270512/11;57176;67176;77176;87176;97176
20270512/12;58842;68842;78842;88842;98842
20270513/1;513;10513;20513;30513;40513
20270513/2;2179;12179;22179;32179;42179
20270513/3;3845;13845;23845;33845;43845
20270513/4;5511;15511;25511;35511;45511
20270513/5;7177;17177;27177;37177;47177
20270513/6;8843;18843;28843;38843;48843
20270513/7;50513;60513;70513;80513;90513
20270513/8;52179;62179;72179;82179;92179
20270513/9;53845;63845;73845;83845;93845
20270513/10;55511;65511;75511;85511;95511
20270513/11;57177;67177;77177;87177;97177
20270513/12;58843;68843;78843;88843;98843
20270514/1;514;10514;20514;30514;40514
20270514/2;2180;12180;22180;32180;42180
20270514/3;3846;13846;23846;33846;43846
20270514/4;5512;15512;25512;35512;45512
20270514/5;7178;17178;27178;37178;47178
20270514/6;8844;18844;28844;38844;48844
20270514/7;50514;60514;70514;80514;90514
20270514/8;52180;62180;72180;82180;92180
20270514/9;53846;63846;73846;83846;93846
20270514/10;55512;65512;75512;85512;95512
20270514/11;57178;67178;77178;87178;97178
20270514/12;58844;68844;78844;88844;98844
20270515/1;515;10515;20515;30515;40515
20270515/2;2181;12181;22181;32181;42181
20270515/3;3847;13847;23847;33847;43847
20270515/4;5513;15513;25513;35513;45513
20270515/5;7179;17179;27179;37179;47179
20270515/6;8845;18845;28845;38845;48845
20270515/7;50515;60515;70515;80515;90515
20270515/8;52181;62181;72181;82181;92181
20270515/9;53847;63847;73847;83847;93847
20270515/10;55513;65513;75513;85513;95513
20270515/11;57179;67179;77179;87179;97179
20270515/12;58845;68845;78845;88845;98845
20270516/1;516;10516;20516;30516;40516
20270516/2;2182;12182;22182;32182;42182
20270516/3;3848;13848;23848;33848;43848
20270516/4;5514;15514;25514;35514;45514
20270516/5;7180;17180;27180;37180;47180
20270516/6;8846;18846;28846;38846;48846
20270516/7;50516;60516;70516;80516;90516
20270516/8;52182;62182;72182;82182;92182
20270516/9;53848;63848;73848;83848;93848
20270516/10;55514;65514;75514;85514;95514
20270516/11;57180;67180;77180;87180;97180
20270516/12;58846;68846;78846;88846;98846
20270517/1;517;10517;20517;30517;40517
20270517/2;2183;12183;22183;32183;42183
20270517/3;3849;13849;23849;33849;43849
20270517/4;5515;15515;25515;35515;45515
20270517/5;7181;17181;27181;37181;47181
20270517/6;8847;18847;28847;38847;48847
20270517/7;50517;60517;70517;80517;90517
20270517/8;52183;62183;72183;82183;92183
20270517/9;53849;63849;73849;83849;93849
20270517/10;55515;65515;75515;85515;95515
20270517/11;57181;67181;77181;87181;97181
20270517/12;58847;68847;78847;88847;98847
20270518/1;518;10518;20518;30518;40518
20270518/2;2184;12184;22184;32184;42184
20270518/3;3850;13850;23850;33850;43850
20270518/4;5516;15516;25516;35516;45516
20270518/5;7182;17182;27182;37182;47182
20270518/6;8848;18848;28848;38848;48848
20270518/7;50518;60518;70518;80518;90518
20270518/8;52184;62184;72184;82184;92184
20270518/9;53850;63850;73850;83850;93850
20270518/10;55516;65516;75516;85516;95516
20270518/11;57182;67182;77182;87182;97182
20270518/12;58848;68848;78848;88848;98848
20270519/1;519;10519;20519;30519;40519
20270519/2;2185;12185;22185;32185;42185
20270519/3;3851;13851;23851;33851;43851
20270519/4;5517;15517;25517;35517;45517
20270519/5;7183;17183;27183;37183;47183
20270519/6;8849;18849;28849;38849;48849
20270519/7;50519;60519;70519;80519;90519
20270519/8;52185;62185;72185;82185;92185
20270519/9;53851;63851;73851;83851;93851
20270519/10;55517;65517;75517;85517;95517
20270519/11;57183;67183;77183;87183;97183
20270519/12;58849;68849;78849;88849;98849
20270520/1;520;10520;20520;30520;40520
20270520/2;2186;12186;22186;32186;42186
20270520/3;3852;13852;23852;33852;43852
20270520/4;5518;15518;25518;35518;45518
20270520/5;7184;17184;27184;37184;47184
20270520/6;8850;18850;28850;38850;48850
20270520/7;50520;60520;70520;80520;90520
20270520/8;52186;62186;72186;82186;92186
20270520/9;53852;63852;73852;83852;93852
20270520/10;55518;65518;75518;85518;95518
20270520/11;57184;67184;77184;87184;97184
20270520/12;58850;68850;78850;88850;98850
20270521/1;521;10521;20521;30521;40521
20270521/2;2187;12187;22187;32187;42187
20270521/3;3853;13853;23853;33853;43853
20270521/4;5519;15519;25519;35519;45519
20270521/5;7185;17185;27185;37185;47185
20270521/6;8851;18851;28851;38851;48851
20270521/7;50521;60521;70521;80521;90521
20270521/8;52187;62187;72187;82187;92187
20270521/9;53853;63853;73853;83853;93853
20270521/10;55519;65519;75519;85519;95519
20270521/11;57185;67185;77185;87185;97185
20270521/12;58851;68851;78851;88851;98851
20270522/1;522;10522;20522;30522;40522
20270522/2;2188;12188;22188;32188;42188
20270522/3;3854;13854;23854;33854;43854
20270522/4;5520;15520;25520;35520;45520
20270522/5;7186;17186;27186;37186;47186
20270522/6;8852;18852;28852;38852;48852
20270522/7;50522;60522;70522;80522;90522
20270522/8;52188;62188;72188;82188;92188
20270522/9;53854;63854;73854;83854;93854
20270522/10;55520;65520;75520;85520;95520
20270522/11;57186;67186;77186;87186;97186
20270522/12;58852;68852;78852;88852;98852
20270523/1;523;10523;20523;30523;40523
20270523/2;2189;12189;22189;32189;42189
20270523/3;3855;13855;23855;33855;43855
20270523/4;5521;15521;25521;35521;45521
20270523/5;7187;17187;27187;37187;47187
20270523/6;8853;18853;28853;38853;48853
20270523/7;50523;60523;70523;80523;90523
20270523/8;52189;62189;72189;82189;92189
20270523/9;53855;63855;73855;83855;93855
20270523/10;55521;65521;75521;85521;95521
20270523/11;57187;67187;77187;87187;97187
20270523/12;58853;68853;78853;88853;98853
20270524/1;524;10524;20524;30524;40524
20270524/2;2190;12190;22190;32190;42190
20270524/3;3856;13856;23856;33856;43856
20270524/4;5522;15522;25522;35522;45522
20270524/5;7188;17188;27188;37188;47188
20270524/6;8854;18854;28854;38854;48854
20270524/7;50524;60524;70524;80524;90524
20270524/8;52190;62190;72190;82190;92190
20270524/9;53856;63856;73856;83856;93856
